"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
0420,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x07","Rascals",,"NULL"
0421,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x08","A Fistful of Datas",,"NULL"
0422,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x09","The Quality of Life",,"NULL"
0423,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x10","Chain of Command",,"NULL"
0424,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x10","Chain of Command (1)",,"NULL"
0425,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x11","Chain of Command (2)",,"NULL"
0426,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x10","Chain of Command, Part 1",,"NULL"
0427,"SYN","episode","Star Trek: The Next Generation","True",1992,"Star Trek: The Next Generation","6x11","Chain of Command, Part 2",,"NULL"
0428,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x01","Emissary (1)",,"NULL"
0429,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x02","Emissary (2)",,"NULL"
0430,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x01","Emissary, Part 1",,"NULL"
0431,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x02","Emissary, Part 2",,"NULL"
0432,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x03","Past Prologue",,"NULL"
0433,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x04","A Man Alone",,"NULL"
0434,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x05","Babel",,"NULL"
0435,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x12","Ship in a Bottle",,"NULL"
0436,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x06","Captive Pursuit",,"NULL"
0437,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x13","Aquiel",,"NULL"
0438,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x07","Q-Less",,"NULL"
0439,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x14","Face of the Enemy",,"NULL"
0440,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x08","Dax",,"NULL"
0441,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x15","Tapestry",,"NULL"
0442,"SYN","episode","Star Trek: Deep Space Nine","True",1993,"Star Trek: Deep Space Nine","1x09","The Passenger",,"NULL"
0443,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x16","Birthright",,"NULL"
0444,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x16","Birthright (1)",,"NULL"
0445,"SYN","episode","Star Trek: The Next Generation","True",1993,"Star Trek: The Next Generation","6x17","Birthright (2)",,"NULL"
